Date,Interest
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,0
2019-09-08,0
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,0
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,18
2019-11-17,0
2019-11-24,0
2019-12-01,20
2019-12-08,0
2019-12-15,20
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,48
2020-01-19,25
2020-01-26,28
2020-02-02,37
2020-02-09,27
2020-02-16,44
2020-02-23,26
2020-03-01,20
2020-03-08,0
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,21
2020-04-12,17
2020-04-19,0
2020-04-26,0
2020-05-03,22
2020-05-10,17
2020-05-17,18
2020-05-24,50
2020-05-31,70
2020-06-07,38
2020-06-14,20
2020-06-21,26
2020-06-28,0
2020-07-05,21
2020-07-12,18
2020-07-19,19
2020-07-26,20
2020-08-02,26
2020-08-09,42
2020-08-16,38
2020-08-23,24
2020-08-30,43
2020-09-06,30
2020-09-13,0
2020-09-20,35
2020-09-27,24
2020-10-04,42
2020-10-11,33
2020-10-18,0
2020-10-25,22
2020-11-01,29
2020-11-08,25
2020-11-15,33
2020-11-22,18
2020-11-29,45
2020-12-06,35
2020-12-13,27
2020-12-20,37
2020-12-27,43
2021-01-03,32
2021-01-10,35
2021-01-17,58
2021-01-24,52
2021-01-31,41
2021-02-07,33
2021-02-14,35
2021-02-21,32
2021-02-28,27
2021-03-07,39
2021-03-14,51
2021-03-21,72
2021-03-28,38
2021-04-04,51
2021-04-11,39
2021-04-18,26
2021-04-25,28
2021-05-02,28
2021-05-09,32
2021-05-16,52
2021-05-23,34
2021-05-30,41
2021-06-06,52
2021-06-13,46
2021-06-20,47
2021-06-27,38
2021-07-04,41
2021-07-11,41
2021-07-18,35
2021-07-25,48
2021-08-01,42
2021-08-08,30
2021-08-15,40
2021-08-22,40
2021-08-29,36
2021-09-05,27
2021-09-12,23
2021-09-19,47
2021-09-26,23
2021-10-03,34
2021-10-10,34
2021-10-17,42
2021-10-24,39
2021-10-31,36
2021-11-07,34
2021-11-14,34
2021-11-21,33
2021-11-28,24
2021-12-05,29
2021-12-12,28
2021-12-19,42
2021-12-26,33
2022-01-02,48
2022-01-09,60
2022-01-16,62
2022-01-23,58
2022-01-30,53
2022-02-06,69
2022-02-13,69
2022-02-20,68
2022-02-27,70
2022-03-06,76
2022-03-13,96
2022-03-20,77
2022-03-27,78
2022-04-03,66
2022-04-10,60
2022-04-17,65
2022-04-24,72
2022-05-01,42
2022-05-08,58
2022-05-15,66
2022-05-22,52
2022-05-29,52
2022-06-05,60
2022-06-12,66
2022-06-19,49
2022-06-26,69
2022-07-03,46
2022-07-10,49
2022-07-17,58
2022-07-24,75
2022-07-31,59
2022-08-07,58
2022-08-14,51
2022-08-21,49
2022-08-28,57
2022-09-04,51
2022-09-11,62
2022-09-18,64
2022-09-25,72
2022-10-02,65
2022-10-09,64
2022-10-16,69
2022-10-23,67
2022-10-30,69
2022-11-06,57
2022-11-13,47
2022-11-20,62
2022-11-27,71
2022-12-04,71
2022-12-11,65
2022-12-18,72
2022-12-25,59
2023-01-01,54
2023-01-08,69
2023-01-15,72
2023-01-22,71
2023-01-29,79
2023-02-05,72
2023-02-12,69
2023-02-19,60
2023-02-26,78
2023-03-05,81
2023-03-12,65
2023-03-19,83
2023-03-26,86
2023-04-02,66
2023-04-09,64
2023-04-16,75
2023-04-23,55
2023-04-30,60
2023-05-07,66
2023-05-14,64
2023-05-21,63
2023-05-28,62
2023-06-04,66
2023-06-11,72
2023-06-18,65
2023-06-25,64
2023-07-02,63
2023-07-09,67
2023-07-16,73
2023-07-23,71
2023-07-30,57
2023-08-06,69
2023-08-13,45
2023-08-20,84
2023-08-27,77
2023-09-03,97
2023-09-10,68
2023-09-17,79
2023-09-24,68
2023-10-01,81
2023-10-08,92
2023-10-15,85
2023-10-22,95
2023-10-29,63
2023-11-05,67
2023-11-12,78
2023-11-19,70
2023-11-26,81
2023-12-03,68
2023-12-10,82
2023-12-17,70
2023-12-24,66
2023-12-31,59
2024-01-07,69
2024-01-14,78
2024-01-21,87
2024-01-28,99
2024-02-04,84
2024-02-11,92
2024-02-18,86
2024-02-25,82
2024-03-03,62
2024-03-10,80
2024-03-17,85
2024-03-24,76
2024-03-31,87
2024-04-07,67
2024-04-14,91
2024-04-21,100
2024-04-28,69
2024-05-05,67
2024-05-12,66
2024-05-19,76
2024-05-26,68
2024-06-02,71
2024-06-09,69
2024-06-16,95
2024-06-23,68
2024-06-30,74
2024-07-07,73
2024-07-14,67
2024-07-21,52
2024-07-28,67
2024-08-04,58
